id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
490554,Sorochinsk,RU,52.43,53.16,1619470794,44.24,44.24,56,87,4.65
1501377,Kungurtug,RU,50.6,97.52,1619470794,14.22,14.22,89,56,2.42
239899,Bria,CF,6.54,21.99,1619470795,71.19,71.19,80,13,1.92
3398480,Gurupá,BR,-1.41,-51.64,1619470795,77.52,77.52,93,95,2.19
3580477,West Bay,KY,19.37,-81.42,1619470795,84.2,84.2,74,20,10.36
3105522,Bereda,ES,43.27,-7.54,1619470796,53.01,53.01,100,59,3.0
153209,Moshi,TZ,-3.35,37.33,1619470796,71.06,71.06,81,96,2.62
4031637,Lavrentiya,RU,65.58,-171.0,1619470796,30.7,30.7,80,98,1.25
1786855,Yatou,CN,37.15,122.38,1619470797,53.06,53.06,95,100,14.16
247659,Qafqafā,JO,32.35,35.94,1619470797,57.2,57.2,72,20,6.91
2511180,Santa Cruz de La Palma,ES,28.68,-17.76,1619470797,65.19,69.8,68,90,4.61
1717787,Catuday,PH,16.29,119.81,1619470798,76.98,76.98,75,44,7.65
3698359,Chicama,PE,-7.84,-79.15,1619470798,64.4,64.4,88,40,11.5
5255068,Greenfield,US,42.96,-88.01,1619470799,61.11,68.0,54,75,20.71
4034496,Fare,PF,-16.7,-151.02,1619470799,80.92,80.92,67,93,3.62
102527,Sakakah,SA,29.97,40.21,1619470799,82.4,82.4,13,11,8.05
3472848,Águas Vermelhas,BR,-15.75,-41.46,1619470800,74.34,74.34,64,95,1.25
5389519,Sacramento,US,38.47,-121.32,1619470736,64.2,66.99,36,20,6.91
5914132,Campbell River,CA,50.02,-125.24,1619470800,53.47,55.99,76,75,3.44
1800498,Mingshui,CN,36.72,117.5,1619470800,60.01,60.01,81,80,6.71
2027042,Batagay-Alyta,RU,67.8,130.41,1619470801,28.08,28.08,97,100,3.62
1213493,Teluk Nibung,ID,3.0,99.82,1619470801,75.2,75.2,92,98,3.96
145233,Ābdānān,IR,32.99,47.42,1619470802,75.85,75.85,22,64,3.58
1651591,Amahai,ID,-3.33,128.92,1619470802,78.01,78.01,92,55,2.86
6111696,Port-Cartier,CA,50.03,-66.87,1619470802,43.63,44.01,93,90,16.11
